EffectType,EnumName,旧TargetType,旧TargetFilter,旧DurationType,旧Turns,新TargetKinds,新Filter,新SelectionMode,Polarity,备注
SkipTurn,跳过回合,(已迁移),,(已上移),,(空=无目标),(空),None,-1.0,幂等重推（极性补值）
Photosynthesis,光合作用,(已迁移),,(已上移),,0,(空),None,1.0,幂等重推（极性补值）
Morph,变形,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,0.0,幂等重推（极性补值）
Sacrifice,牺牲,(已迁移),"NoRole,Mortal",(已上移),,0,"NoRole,Mortal",None,0.0,幂等重推（极性补值）
Devour,吞噬,(已迁移),"NoRole,Mortal",(已上移),,"0,1","NoRole,Mortal",None,-1.0,幂等重推（极性补值）
Annihilate,湮灭,(已迁移),"NoRole,Mortal",(已上移),,"0,1","NoRole,Mortal",None,-1.0,幂等重推（极性补值）
Smash,摧毁,(已迁移),,(已上移),,"2,3,12,13",(空),None,-1.0,幂等重推（极性补值）
KnockDown,打落,(已迁移),,(已上移),,"14,15",(空),None,-1.0,幂等重推（极性补值）
SummonToken,召唤衍生物,(已迁移),,(已上移),,"0,1",(空),None,1.0,幂等重推（极性补值）
Mine,采掘,(已迁移),NoRole,(已上移),,12,NoRole,None,0.0,幂等重推（极性补值）
